rank,card
2139,5830
2140,2777
2141,4417
2142,3074
2143,5874
2144,5996
2145,7086
2146,9209
2147,4558
2148,5416
2149,3682
2150,5192
2151,1329
2152,8742
2153,8292
2154,4830
2155,2624
2156,1485
2157,8460
2158,1506
2159,213
2160,6547
2161,8644
2162,3834
2163,9680
2164,5555
2165,651
2166,2073
2167,7333
2168,8370
2169,5517
2170,6207
2171,7295
2172,3299
2173,1965
2174,5806
2175,1108
2176,3692
2177,2786
2178,5464
2179,7497
2180,999
2181,453
2182,2725
2183,7680
2184,5543
2185,803
2186,27
2187,8439
2188,4969
2189,1445
2190,7487
2191,4861
2192,9850
2193,2961
2194,8024
2195,135
2196,990
2197,4290
2198,915
2199,7845
2200,7075
2201,2780
2202,3002
2203,5275
2204,7889
2205,2262
2206,3487
2207,8487
2208,3744
2209,2265
2210,9440
2211,8021
2212,6967
2213,4452
2214,5159
2215,9967
2216,8580
2217,970
2218,434
2219,4198
2220,471
2221,2860
2222,1628
2223,4347
2224,6079
2225,8853
2226,1452
2227,8609
2228,1886
2229,5244
2230,9502
2231,1290
2232,5892
2233,1732
2234,5243
2235,3162
2236,4990
2237,8349
2238,2646
2239,1878
2240,1859
2241,2808
2242,6793
2243,5816
2244,2301
2245,2801
2246,549
2247,5521
2248,5482
2249,5955
2250,5828
2251,8452
2252,6787
2253,3509
2254,9566
2255,7226
2256,9479
2257,7366
2258,8726
2259,5797
2260,5374
2261,7417
2262,591
2263,6836
2264,6602
2265,2910
2266,8493
2267,3100
2268,6072
2269,8926
2270,4574
2271,4804
2272,5207
2273,8417
2274,9480
2275,1084
2276,8911
2277,3267
2278,6884
2279,821
2280,9142
2281,4542
2282,1002
2283,584
2284,6776
2285,6530
2286,7060
2287,7050
2288,3713
2289,6921
2290,3649
2291,9320
2292,4287
2293,1286
2294,174
2295,8883
2296,5732
2297,926
2298,1239
2299,2733
2300,7654
2301,6419
2302,650
2303,2880
2304,152
2305,3277
2306,8667
2307,5098
2308,9585
2309,3057
2310,3000
2311,1040
2312,1585
2313,4454
2314,9996
2315,7345
2316,8237
2317,5325
2318,8535
2319,7878
2320,8214
2321,4399
2322,5000
2323,3903
2324,7242
2325,7304
2326,8745
2327,8298
2328,5514
2329,8131
2330,5789
2331,827
2332,3620
2333,6379
2334,41
2335,7564
2336,7725
2337,911
2338,225
2339,4026
2340,6283
2341,8717
2342,9302
2343,1529
2344,1469
2345,4688
2346,8365
2347,116
2348,342
2349,531
2350,2933
2351,127
2352,7338
2353,8658
2354,6205
2355,978
2356,7188
2357,2945
2358,8620
2359,7859
2360,8569
2361,1165
2362,5645
2363,6067
2364,3234
2365,7907
2366,1063
2367,6795
2368,3446
2369,4895
2370,1814
2371,9907
2372,5174
2373,4549
2374,1588
2375,996
2376,2350
2377,5670
2378,5890
2379,9471
2380,9829
2381,1373
2382,2812
2383,6899
2384,3044
2385,4827
2386,6680
2387,5320
2388,6169
2389,9979
2390,7806
2391,4434
2392,2072
2393,7336
2394,6317
2395,5032
2396,44
2397,7359
2398,6146
2399,752
2400,5966
2401,2174
2402,3474
2403,2318
2404,4600
2405,1408
2406,9898
2407,9900
2408,6891
2409,676
2410,5773
2411,1525
2412,8129
2413,5885
2414,7694
2415,317
2416,3953
2417,9617
2418,2679
2419,5200
2420,2106
2421,2582
2422,9970
2423,5765
2424,2241
2425,5129
2426,9508
2427,1989
2428,1710
2429,1407
2430,2736
2431,731
2432,8160
2433,8444
2434,4657
2435,6270
2436,4255
2437,5859
2438,1731
2439,3971
2440,5453
2441,8529
2442,112
2443,5954
2444,8944
2445,8223
2446,5856
2447,4988
2448,1367
2449,3071
2450,6986
2451,704
2452,3611
2453,4881
2454,1490
2455,9475
2456,814
2457,871
2458,1669
2459,6788
2460,4425
2461,3266
2462,7294
2463,2194
2464,6454
2465,4221
2466,4345
2467,333
2468,5476
2469,7728
2470,6321
2471,1021
2472,1657
2473,8239
2474,5511
2475,8661
2476,6412
2477,3462
2478,4001
2479,6334
2480,7776
2481,9742
2482,1372
2483,8942
2484,7757
2485,5675
2486,3927
2487,782
2488,668
2489,5727
2490,748
2491,5649
2492,3691
2493,4650
2494,4734
2495,9208
2496,9068
2497,6260
2498,1277
2499,1539
2500,1883
2501,8311
2502,184
2503,1118
2504,4911
2505,5699
2506,1223
2507,9795
2508,569
2509,266
2510,3319
2511,4108
2512,3558
2513,4479
2514,422
2515,3066
2516,8875
2517,6711
2518,1394
2519,3618
2520,3129
2521,4327
2522,3674
2523,7220
2524,8769
2525,1978
2526,3695
2527,1158
2528,7976
2529,5948
2530,1044
2531,6773
2532,9740
2533,78
2534,9772
2535,34
